Text,Phonetic,Meaning,Example,DifficultyLevel
castle,/ˈkɑːsl/,n. 城堡,a medieval castle,1
casual,/ˈkæʒuəl/,adj. 随意的,casual clothes (= comfortable clothes that you choose to wear in your free time),3
casualty,/ˈkæʒuəlti/,n. 伤亡,Our primary objective is reducing road casualties.,4
cat,/kæt/,n. 猫,a tin of cat food ,1
catalogue,/ˈkætəlɒɡ/,n. 目录,a mail-order catalogue (= a book showing goods for sale to be sent to people’s homes),4
catch,/kætʃ/,n. 抓住,Roger made some brilliant catches at today's game.,3
category,/ˈkætəɡəri/,n. 类别,These are the nominees from each category.,2
cater,/ˈkeɪtə(r)/,v. 迎合,"(British English), cater for somebody/something, Most of our work now involves catering for weddings.",4
cattle,/ˈkætl/,n. 牛,a herd of cattle,4
cause,/kɔːz/,n. 原因,Unemployment is a major cause of poverty.,1
caution,/ˈkɔːʃn/,n. 警告,extreme/great caution,4
cautious,/ˈkɔːʃəs/,adj. 谨慎,The government has been cautious in its response to the report.,4
cave,/keɪv/,n. 洞穴,the mouth (= the entrance) of the cave,3
CD,/ˌsiː ˈdiː/,n. 光盘,"on CD, His albums are available on CD and online.",1
cease,/siːs/,v. 停止,Welfare payments cease as soon as an individual starts a job.,4
ceiling,/ˈsiːlɪŋ/,n. 天花板,a large room with a high ceiling,2
celebrate,/ˈselɪbreɪt/,v. 庆祝,Jake's passed his exams. We're going out to celebrate.,1
celebration,/ˌselɪˈbreɪʃn/,n. 庆典,The occasion was the 40th anniversary celebrations of the orchestra.,2
celebrity,/səˈlebrəti/,n. 名人,a celebrity chef,1
cell,/sel/,n. 细胞,red and white blood cells,3
cemetery,/ˈsemətri/,n. 公墓,He was buried in a private cemetery.,4
cent,/sent/,n. 分,A one-minute phone call to the UK cost 10 cents.,1
central,/ˈsentrəl/,adj. 中央,central London,2
centre,/ˈsentə(r)/,n. 中心,He walked to the centre of the circle.,1
century,/ˈsentʃəri/,n. 世纪,"A century ago, Valparaiso was the country's main port.",1
ceremony,/ˈserəməni/,n. 仪式,More than 1 000 people attended the ceremony.,2
certain,/ˈsɜːtn/,adj. 肯定,"I think it was him, but I can't be certain.",1
certainly,/ˈsɜːtnli/,adv. 当然,"Without treatment, she will almost certainly die.",1
certainty,/ˈsɜːtnti/,n. 肯定,There is no certainty that the president's removal would end the civil war.,3
certificate,/səˈtɪfɪkət/,n. 证书,a birth/marriage/death certificate,3
chain,/tʃeɪn/,n. 链,She wore a heavy gold chain around her neck.,2
chair,/tʃeə(r)/,n. 椅子,a table and chairs,1
chairman,/ˈtʃeəmən/,n. 主席,Sir Herbert took it upon himself to act as chairman.,3
challenge,/ˈtʃælɪndʒ/,n. 挑战,a tough/major/significant challenge,2
challenging,/ˈtʃælɪndʒɪŋ/,adj. 具有挑战性的,challenging work/questions/problems,3
chamber,/ˈtʃeɪmbə(r)/,n. 室,The members left the council chamber.,4
champion,/ˈtʃæmpiən/,n. 冠军,the world/European/national/Olympic champion,2
championship,/ˈtʃæmpiənʃɪp/,n. 锦标赛,the National Basketball Association Championship,3
chance,/tʃɑːns/,n. 机会,"chance of doing something, She only has a slim chance of passing the exam.",1
change,/tʃeɪndʒ/,n. 改变,"change in something, We're hoping for a change in the weather.",1
channel,/ˈtʃænl/,n. 渠道,a television/TV channel,2
chaos,/ˈkeɪɒs/,n. 混乱,economic/political/domestic chaos,4
chapter,/ˈtʃæptə(r)/,n. 章,to read/write a chapter,2
character,/ˈkærəktə(r)/,n. 特点,the main character in the film,1
characteristic,/ˌkærəktəˈrɪstɪk/,adj. 特征,"characteristic of something/somebody, Community support of families is characteristic of many societies.",3
characterize,/ˈkærəktəraɪz/,v. 表征,the rolling hills that characterize this part of England,4
charge,/tʃɑːdʒ/,n. 收费,admission charges,2
charity,/ˈtʃærəti/,n. 慈善事业,a registered charity,1
charm,/tʃɑːm/,n. 魅力,He was a man of great charm.,4
charming,/ˈtʃɑːmɪŋ/,adj. 迷人,"The cottage is tiny, but it's charming.",3
chart,/tʃɑːt/,n. 图表, Some shares have lost two-thirds of their value since being issued (see chart).,1
charter,/ˈtʃɑːtə(r)/,n. 宪章,the European Social Charter of workers’ rights,4
chase,/tʃeɪs/,n. 追赶,The thieves were caught by police after a short chase.,3
chat,/tʃæt/,n. 聊天,I just called in for a chat.,1
cheap,/tʃiːp/,adj. 便宜的,cheap imports/flights,1
cheat,/tʃiːt/,n. 欺骗,You little cheat!,2
check,/tʃek/,n. 查看,Could you give the tyres a check?,1
cheek,/tʃiːk/,n. 脸颊,chubby/rosy/pink cheeks,3
cheer,/tʃɪə(r)/,n. 欢呼,A great cheer went up from the crowd.,3
cheerful,/ˈtʃɪəfl/,adj. 快乐,You're not your usual cheerful self today.,2
cheese,/tʃiːz/,n. 奶酪,Cheddar cheese,1
chef,/ʃef/,n. 厨师,a new book by celebrity chef Jamie Oliver,1
chemical,/ˈkemɪkl/,adj. 化学,changes in the chemical composition of the atmosphere,2
chemistry,/ˈkemɪstri/,n. 化学,a degree in chemistry,1
chest,/tʃest/,n. 胸部,chest pains,2
chicken,/ˈtʃɪkɪn/,n. 鸡,They keep chickens in the back yard.,1
chief,/tʃiːf/,adj. 首席,the chief cause/problem/reason,3
child,/tʃaɪld/,n. 孩子,a child of 3/a 3-year-old child,1
childhood,/ˈtʃaɪldhʊd/,n. 童年,"childhood, adolescence, and adulthood",2
chip,/tʃɪp/,n. 芯片,He was eating a burger and chips.,1
chocolate,/ˈtʃɒklət/,n. 巧克力,a chocolate bar,1
choice,/tʃɔɪs/,n. 选择,We are faced with a difficult choice.,1
choir,/ˈkwaɪə(r)/,n. 唱诗班,She sings in the school choir.,3
choose,/tʃuːz/,v. 选择,You choose—I can't decide.,1
chop,/tʃɒp/,v. 劈,"chop something, He was chopping logs for firewood.",3
chronic,/ˈkrɒnɪk/,lasting for a long time; difficult to cure,chronic bronchitis/arthritis/asthma,4
chunk,/tʃʌŋk/,n. 块,a chunk of cheese/masonry,4
church,/tʃɜːtʃ/,n. 教会,The procession moved into the church.,1
cigarette,/ˌsɪɡəˈret/,n. 卷烟,to smoke/have a cigarette,1
cinema,/ˈsɪnəmə/,n. 电影,the local cinema,1
circle,/ˈsɜːkl/,n. 圆圈,the centre/circumference/radius/diameter of a circle,1
circuit,/ˈsɜːkɪt/,n. 电路,The race ended with eight laps of a city centre circuit.,3
circulate,/ˈsɜːkjəleɪt/,v. 流通,The condition prevents the blood from circulating freely.,4
circulation,/ˌsɜːkjəˈleɪʃn/,n. 循环,Regular exercise will improve blood circulation.,4
circumstance,/ˈsɜːkəmstəns/,n. 环境,Police said there were no suspicious circumstances surrounding the boy's death.,3
cite,/saɪt/,v. 引用,"cite something, She cited examples of companies the city has helped relocate or expand.",3
citizen,/ˈsɪtɪzn/,n. 公民,The defeat of the president did not change the lives of ordinary citizens for the better.,3
citizenship,/ˈsɪtɪzənʃɪp/,n. 国籍,They were granted full French citizenship.,4
city,/ˈsɪti/,n. 城市,Parking is difficult in the city centre.,1
civic,/ˈsɪvɪk/,adj. 公民的,civic buildings/leaders,4
civil,/ˈsɪvl/,adj. 民事,civil unrest (= that is caused by groups of people within a country),3
civilian,/səˈvɪliən/,adj. 平民,He left the army and returned to civilian life.,4
civilization,/ˌsɪvəlaɪˈzeɪʃn/,n. 文明,the technology of modern civilization,3
claim,/kleɪm/,n. 宣称,"claim about somebody/something, The company had made false claims about its products.",2
clarify,/ˈklærəfaɪ/,v. 阐明,"clarify something, to clarify a situation/problem/issue",3
clarity,/ˈklærəti/,n. 明晰,a lack of clarity in the law,4
clash,/klæʃ/,n. 冲突,Clashes broke out between police and demonstrators.,4
class,/klɑːs/,n. 班级,"in the/your class, We were in the same class at school.",1
classic,/ˈklæsɪk/,adj. 经典的,a classic film/story/car/game ,3
classical,/ˈklæsɪkl/,adj. 古典,a classical composer/musician/pianist,1
classification,/ˌklæsɪfɪˈkeɪʃn/,n. 分类,a style of music that defies classification (= is like no other),4
classify,/ˈklæsɪfaɪ/,v. 分类,The books in the library are classified according to subject.,3
classroom,/ˈklɑːsruːm/,n. 课堂,classroom activities,1
clause,/klɔːz/,n. 条款,"in a clause, There are languages that require the subject to come before the object in a clause.",2
clean,/kliːn/,adj. 干净的,Are your hands clean?,1
clear,/klɪə(r)/,adj. 清除,She gave me clear and precise directions.,1
clearly,/ˈklɪəli/,adv. 清楚地,Please speak clearly after the tone.,1
clerk,/klɑːk/,n. 职员,The clerk at the counter gave me too little change.,3
clever,/ˈklevə(r)/,adj. 聪明的,a clever child,1
click,/klɪk/,n. 点击,a mouse click,2
client,/ˈklaɪənt/,n. 客户,She's a well-known lawyer with many famous clients.,2
cliff,/klɪf/,n. 悬崖,the cliff edge/top,3
climate,/ˈklaɪmət/,n. 气候,a tropical/warm/mild/temperate/cold climate,1
climb,/klaɪm/,n. 爬,an exhausting climb,2
cling,/klɪŋ/,v. 紧贴,"cling to somebody/something, survivors clinging to a raft",4
clinic,/ˈklɪnɪk/,n. 诊所,Your local family planning clinic can give you advice about birth control.,3
clinical,/ˈklɪnɪkl/,adj. 临床,"clinical research (= done on patients, not just considering theory)",4
clip,/klɪp/,n. 夹子,Here is a clip from her latest movie.,3
clock,/klɒk/,n. 钟,The clock struck twelve/midnight.,1
close,/kləʊs/,adj. 关闭,I had no idea the beach was so close.,1
closed,/kləʊzd/,adj. 关闭,Keep the door closed.,1
closely,/ˈkləʊsli/,adv. 密切,"He walked into the room, closely followed by the rest of the family.",3
closure,/ˈkləʊʒə(r)/,n. 关闭,factory closures,4
cloth,/klɒθ/,n. 布,woollen/cotton/linen cloth,2
clothes,/kləʊðz/,n. 衣服,I bought some new clothes for the trip.,1
clothing,/ˈkləʊðɪŋ/,n. 衣服,Workers at the factory wear protective clothing.,1
cloud,/klaʊd/,n. 云,Dark clouds were gathering in the west.,1
club,/klʌb/,n. 俱乐部,a golf/tennis/chess/film club ,1
clue,/kluː/,n. 线索,The burglar left no clues.,2
cluster,/ˈklʌstə(r)/,n. 簇,The telescope is focused on a dense cluster of stars at the edge of the galaxy.,4
coach,/kəʊtʃ/,n. 教练,the head/assistant coach,1
coal,/kəʊl/,n. 煤炭,I put more coal on the fire.,2
coalition,/ˌkəʊəˈlɪʃn/,n. 联盟,The two parties have formed a coalition.,4
coast,/kəʊst/,n. 海岸,a trip to the coast,1
coastal,/ˈkəʊstl/,adj. 沿海,coastal waters/resorts/scenery,4
coat,/kəʊt/,n. 外套,to wear a coat,1
cocktail,/ˈkɒkteɪl/,n. 鸡尾酒,a cocktail bar/cabinet/lounge/shaker ,4
code,/kəʊd/,n. 代码,to break/crack a code (= to understand and read the message),1
coffee,/ˈkɒfi/,n. 咖啡,ground/real/instant coffee,1
cognitive,/ˈkɒɡnətɪv/,adj. 认知的,a child’s cognitive development,4
coin,/kɔɪn/,n. 硬币,gold coins,2
coincide,/ˌkəʊɪnˈsaɪd/,v. 重合,It's a pity our trips to New York don't coincide.,4
coincidence,/kəʊˈɪnsɪdəns/,n. 巧合,a strange/an extraordinary/a remarkable coincidence,3
cold,/kəʊld/,adj. 寒冷的,I'm cold. Turn the heating up.,1
collaborate,/kəˈlæbəreɪt/,v. 合作,Researchers around the world are collaborating to develop a new vaccine.,4
collaboration,/kəˌlæbəˈreɪʃn/,n. 合作,It was a collaboration that produced extremely useful results.,4
collapse,/kəˈlæps/,n. 坍塌,the collapse of the Soviet Union,3
colleague,/ˈkɒliːɡ/,n. 同事,work/senior/male colleagues,1
collect,/kəˈlekt/,v. 收集,"collect something, to collect data/evidence/information",1
collection,/kəˈlekʃn/,n. 收藏,He wanted to share his vast art collection with the world.,2
collective,/kəˈlektɪv/,adj. 集体,collective leadership/decision-making/responsibility,4
collector,/kəˈlektə(r)/,n. 集电极,a stamp collector,3
college,/ˈkɒlɪdʒ/,n. 大学,a secretarial college,1
collision,/kəˈlɪʒn/,n. 碰撞,"collision between A and B, a collision between two trains",4
colonial,/kəˈləʊniəl/,adj. 殖民,a colonial power,4
colony,/ˈkɒləni/,n. 殖民地,former British colonies,3
colour,/ˈkʌlə(r)/,n. 颜色,What's your favourite colour?,1
coloured,/ˈkʌləd/,adj. 有色,brightly coloured balloons,2
colourful,/ˈkʌləfl/,adj. 丰富多彩的,colourful shop windows,3
column,/ˈkɒləm/,n. 柱子,a dictionary with two columns per page,1
columnist,/ˈkɒləmnɪst/,n. 专栏作家,a newspaper columnist,4
combat,/ˈkɒmbæt/,n. 战斗,"in combat, He was killed in combat.",4
combination,/ˌkɒmbɪˈneɪʃn/,n. 组合,"combination of something, The tragedy was due to a combination of factors.",3
combine,/kəmˈbaɪn/,v. 结合,"combine to do something, Hydrogen and oxygen combine to form water.",2
come,/kʌm/,v. 来,"+ adv./prep., He left and said he was never coming back.",1
comedy,/ˈkɒmədi/,n. 喜剧,a romantic comedy,1
comfort,/ˈkʌmfət/,n. 舒适,The hotel offers a high standard of comfort and service.,3
comfortable,/ˈkʌmftəbl/,adj. 舒服的,It's such a comfortable bed.,1
comic,/ˈkɒmɪk/,adj. 漫画,a comic monologue/story,3
command,/kəˈmɑːnd/,n. 命令,Begin when I give the command.,3
commander,/kəˈmɑːndə(r)/,n. 指挥官,military/allied/field/flight commanders,3
commence,/kəˈmens/,v. 开始,The meeting is scheduled to commence at noon.,4
comment,/ˈkɒment/,n. 评论,"comment on something, She made helpful comments on my work.",1
commentary,/ˈkɒməntri/,n. 评论,a sports commentary,4
commentator,/ˈkɒmənteɪtə(r)/,n. 评论员,a television/sports commentator,4
commerce,/ˈkɒmɜːs/,n. 商业,Leaders of industry and commerce met at the summit in Paris.,4
commercial,/kəˈmɜːʃl/,adj. 商业的,residential and commercial properties,2
commission,/kəˈmɪʃn/,n. 委员会,The commission is expected to report its findings next month.,3
commissioner,/kəˈmɪʃənə(r)/,n. 专员,the Church Commissioners (= the group of people responsible for controlling the financial affairs of the Church of England),4
commit,/kəˈmɪt/,v. 犯罪,to commit a crime/an offence,2
commitment,/kəˈmɪtmənt/,n. 承诺,I'm not ready to make a long-term commitment.,3
committee,/kəˈmɪti/,n. 委员会,an executive/advisory/organizing committee,3
commodity,/kəˈmɒdəti/,n. 商品,"rice, flour and other basic commodities",4
common,/ˈkɒmən/,adj. 常见的,a common problem/occurrence/practice,1
commonly,/ˈkɒmənli/,adv. 通常,Christopher is commonly known as Kit.,3
communicate,/kəˈmjuːnɪkeɪt/,v. 交流,We only communicate by email.,1
communication,/kəˌmjuːnɪˈkeɪʃn/,n. 沟通,"communication between A and B, Good communication between team leaders and members is essential.",2
communist,/ˈkɒmjənɪst/,adj. 共产,communist ideology,4
community,/kəˈmjuːnəti/,n. 社区,The local community supported us from the start.,1
companion,/kəmˈpænjən/,n. 伴侣,travelling companions,4
company,/ˈkʌmpəni/,n. 公司,insurance/oil/tech/technology/pharmaceutical companies,1
comparable,/ˈkɒmpərəbl/,adj. 可比,A comparable house in the south of the city would cost twice as much.,4
comparative,/kəmˈpærətɪv/,adj. 比较,Then he was living in comparative comfort (= compared with others or with his own life at a previous time).,3
compare,/kəmˈpeə(r)/,v. 比较,"compare A and B, It is interesting to compare their situation and ours.",1
comparison,/kəmˈpærɪsn/,n. 比较,"For Durkheim, comparison was the most important method of analysis in sociology.",2
compassion,/kəmˈpæʃn/,n. 同情,to feel/show compassion,4
compel,/kəmˈpel/,v. 迫使,"compel somebody to do something, The law can compel fathers to make regular payments for their children.",4
compelling,/kəmˈpelɪŋ/,adj. 令人信服的,Her latest book makes compelling reading.,4
compensate,/ˈkɒmpenseɪt/,v. 补偿,Nothing can compensate for the loss of a loved one.,4
compensation,/ˌkɒmpenˈseɪʃn/,n. 赔偿,to claim/award/receive compensation,4
compete,/kəmˈpiːt/,v. 竞争,"The games were an outstanding success, with almost 2 400 athletes competing.",1
competence,/ˈkɒmpɪtəns/,n. 权限,to gain a high level of competence in English,4
competent,/ˈkɒmpɪtənt/,adj. 胜任的,He's very competent in his work.,4
competition,/ˌkɒmpəˈtɪʃn/,n. 竞赛,a design/an art/a talent competition,1
competitive,/kəmˈpetətɪv/,adj. 竞争的,competitive games/sports,2
competitor,/kəmˈpetɪtə(r)/,n. 竞争者,Over 200 competitors entered the race.,2
compile,/kəmˈpaɪl/,v. 编译,We are trying to compile a list of suitable people for the job.,4
complain,/kəmˈpleɪn/,v. 抱怨,"She never complains, but she's obviously exhausted.",1
complaint,/kəmˈpleɪnt/,n. 抱怨,a formal complaint,2
complement,/ˈkɒmplɪment/,v. 补充,The excellent menu is complemented by a good wine list.,4
complete,/kəmˈpliːt/,adj. 完全的,a complete list/sequence/picture/profile,1
completely,/kəmˈpliːtli/,adv. 完全地,It was completely different from how I had imagined it.,1
completion,/kəmˈpliːʃn/,n. 完成,the completion of the new hospital building,3
complex,/ˈkɒmpleks/,adj. 复杂的,a complex problem/issue/process/system,2
complexity,/kəmˈpleksəti/,n. 复杂,the increasing complexity of modern telecommunication systems,4
compliance,/kəmˈplaɪəns/,n. 遵守,"compliance (with something), procedures that must be followed to ensure full compliance with the law",4
complicated,/ˈkɒmplɪkeɪtɪd/,adj. 复杂的,a complicated issue/process/system,3
complication,/ˌkɒmplɪˈkeɪʃn/,n. 并发症,The bad weather added a further complication to our journey.,4
comply,/kəmˈplaɪ/,v. 遵守,They refused to comply with the UN resolution.,4
component,/kəmˈpəʊnənt/,n. 成分,the different organizations involved in the design of the various components ,3
compose,/kəmˈpəʊz/,v. 撰写,Mozart composed his last opera shortly before he died.,3
composer,/kəmˈpəʊzə(r)/,n. 作曲家,Verdi was a prolific composer of operas.,3
composition,/ˌkɒmpəˈzɪʃn/,n. 作品,the chemical composition of the soil,4
compound,/ˈkɒmpaʊnd/,n. 化合物,compounds derived from rainforest plants,3
comprehensive,/ˌkɒmprɪˈhensɪv/,adj. 综合的,a comprehensive list of addresses,3
comprise,/kəmˈpraɪz/,v. 包括,"comprise something, The collection comprises 327 paintings.",3
compromise,/ˈkɒmprəmaɪz/,n. 妥协,After lengthy talks the two sides finally reached a compromise.,4
compulsory,/kəmˈpʌlsəri/,adj. 强制性的,English is a compulsory subject at this level.,3
compute,/kəmˈpjuːt/,v. 计算,The losses were computed at £5 million.,4
computer,/kəmˈpjuːtə(r)/,n. 电脑,a home computer,1
conceal,/kənˈsiːl/,v. 隐藏,"conceal somebody/something, The paintings were concealed beneath a thick layer of plaster.",4
concede,/kənˈsiːd/,v. 承认,"+ speech, ‘Not bad,’ she conceded grudgingly.",4
conceive,/kənˈsiːv/,v. 构想,He conceived the idea of transforming the old power station into an arts centre.,4
concentrate,/ˈkɒnsntreɪt/,v. 集中,I can't concentrate with all that noise going on.,2
concentration,/ˌkɒnsnˈtreɪʃn/,n. 专注,This book requires a great deal of concentration.,3
concept,/ˈkɒnsept/,n. 概念,"concept of something, the concept of social class",3
conception,/kənˈsepʃn/,n. 概念,"conception of something, Marx’s conception of social justice",4
concern,/kənˈsɜːn/,n. 忧虑,"concern about something/somebody, Villagers expressed concern about the level of traffic.",3
concerned,/kənˈsɜːnd/,adj. 担心的,Concerned citizens can have a huge impact.,3
concert,/ˈkɒnsət/,n. 音乐会,to attend/go to a concert,1
concession,/kənˈseʃn/,n. 让步,The firm will be forced to make concessions if it wants to avoid a strike.,4
conclude,/kənˈkluːd/,v. 得出结论,"conclude something, It is too early for us to conclude anything.",2
conclusion,/kənˈkluːʒn/,n. 结论,We can safely draw some conclusions from our discussion.,2
concrete,/ˈkɒŋkriːt/,adj. 具体的,a concrete floor,3
condemn,/kənˈdem/,v. 谴责,"condemn somebody/something, The government issued a statement condemning the killings.",4
condition,/kənˈdɪʃn/,n. 状况,"in… condition, to be in pristine/excellent/perfect condition ",1
conduct,/ˈkɒndʌkt/,n. 执行,The sport has a strict code of conduct.,3
confer,/kənˈfɜː(r)/,v. 授予,He wanted to confer with his colleagues before reaching a decision.,4
conference,/ˈkɒnfərəns/,n. 会议,"The hotel is used for exhibitions, conferences and social events.",1
confess,/kənˈfes/,v. 承认,"After hours of questioning, the suspect confessed.",3
confession,/kənˈfeʃn/,n. 忏悔,"After hours of questioning by police, she made a full confession.",4
confidence,/ˈkɒnfɪdəns/,n. 信心,The president's actions hardly inspire confidence.,3
confident,/ˈkɒnfɪdənt/,adj. 自信的,"She was in a relaxed, confident mood.",2
configuration,/kənˌfɪɡəˈreɪʃn/,n. 配置,"configuration of something, The design is based on four configurations of squares.",4
confine,/kənˈfaɪn/,v. 局限,"be confined to (doing) something, The work will not be confined to the Glasgow area.",4
confirm,/kənˈfɜːm/,v. 确认,"confirm something, His guilty expression confirmed my suspicions.",2
confirmation,/ˌkɒnfəˈmeɪʃn/,n. 确认,I'm still waiting for confirmation of the test results.,4
conflict,/ˈkɒnflɪkt/,n. 冲突,The violence was the result of political conflicts.,3
confront,/kənˈfrʌnt/,v. 面对,What is to be done about the economic problems confronting the country?,4
confrontation,/ˌkɒnfrʌnˈteɪʃn/,a situation in which there is anger between people or groups who disagree because they have different opinions,"confrontation (with somebody), She wanted to avoid another confrontation with her father.",4
confuse,/kənˈfjuːz/,v. 迷惑,"confuse somebody, These two sets of statistics are guaranteed to confuse the public.",2
confused,/kənˈfjuːzd/,adj. 使困惑,I'm confused—say all that again.,2
confusing,/kənˈfjuːzɪŋ/,adj. 令人困惑的,The instructions on the box are very confusing.,3
confusion,/kənˈfjuːʒn/,n. 困惑,The announcement caused a lot of confusion.,3
congratulate,/kənˈɡrætʃəleɪt/,v. 祝贺,I congratulated them all on their results.,4
congregation,/ˌkɒŋɡrɪˈɡeɪʃn/,n. 会众,The congregation stood to sing the hymn.,4
congressional,/kənˈɡreʃənl/,adj. 国会的,a congressional committee/bill,4
connect,/kəˈnekt/,v. 连接,"connect A and B, The towns are connected by train and bus services.",1
connected,/kəˈnektɪd/,adj. 已连接,We do not believe that the incidents are connected.,1
connection,/kəˈnekʃn/,n. 联系,"connection between A and B, Scientists have established a connection between cholesterol levels and heart disease.",2
conquer,/ˈkɒŋkə(r)/,v. 征服,The Normans conquered England in 1066.,4
conscience,/ˈkɒnʃəns/,n. 良心,to have a clear/guilty conscience (= to feel that you have done right/wrong),4
conscious,/ˈkɒnʃəs/,adj. 有意识的,"conscious of something, She's very conscious of the problems involved.",3
consciousness,/ˈkɒnʃəsnəs/,n. 意识,I can't remember any more—I must have lost consciousness.,4
consecutive,/kənˈsekjətɪv/,adj. 连续的,She was absent for nine consecutive days.,4
consensus,/kənˈsensəs/,n. 共识,"consensus (about/on something), She is skilled at achieving consensus on sensitive issues.",4
consent,/kənˈsent/,n. 同意,The written consent of a parent is required.,4
consequence,/ˈkɒnsɪkwəns/,n. 结果,Remember that actions have consequences.,2
consequently,/ˈkɒnsɪkwəntli/,adv. 最后,"This poses a threat to agriculture and the food chain, and consequently to human health.",3
conservation,/ˌkɒnsəˈveɪʃn/,the protection of the natural environment,to be interested in wildlife conservation,3
conservative,/kənˈsɜːvətɪv/,adj. 保守的,the conservative views of his parents,3
conserve,/kənˈsɜːv/,v. 养护,new laws to conserve wildlife in the area,4
consider,/kənˈsɪdə(r)/,v. 考虑,I'd like some time to consider.,1
considerable,/kənˈsɪdərəbl/,adj. 大量,The project wasted a considerable amount of time and money.,3
considerably,/kənˈsɪdərəbli/,adv. 相当,The need for sleep varies considerably from person to person.,3
consideration,/kənˌsɪdəˈreɪʃn/,n. 考虑,An employer is legally bound to give due consideration to the request.,3
consist,/kənˈsɪst/,v. 组成,,2
consistency,/kənˈsɪstənsi/,n. 一致性,She has played with great consistency all season.,4
consistent,/kənˈsɪstənt/,adj. 持续的,a consistent approach to the problem,3
consistently,/kənˈsɪstəntli/,adv. 始终如一地,Her work has been of a consistently high standard.,3
consolidate,/kənˈsɒlɪdeɪt/,v. 巩固,With this new movie he has consolidated his position as the country's leading director.,4
conspiracy,/kənˈspɪrəsi/,n. 阴谋,"conspiracy (to do something), a conspiracy to overthrow the government",3
constant,/ˈkɒnstənt/,adj. 持续的,There were constant interruptions.,3
constantly,/ˈkɒnstəntli/,all the time; repeatedly,Fashion is constantly changing.,3
constituency,/kənˈstɪtʃuənsi/,n. 选区,Unemployment is high in her constituency.,4
constitute,/ˈkɒnstɪtjuːt/,v. 构成,Does such an activity constitute a criminal offence?,4
constitution,/ˌkɒnstɪˈtjuːʃn/,n. 宪法,your right to vote under the constitution,4
constitutional,/ˌkɒnstɪˈtjuːʃənl/,adj. 宪政的,,4
constraint,/kənˈstreɪnt/,n. 约束,constraints of time/money/space,4
construct,/kənˈstrʌkt/,v. 构造,"construct something, The building was constructed in 1993.",3
construction,/kənˈstrʌkʃn/,n. 建造,Construction began this year and will take approximately 18 months.,3
consult,/kənˈsʌlt/,v. 咨询,"consult somebody, If the pain continues, consult your doctor.",3
consultant,/kənˈsʌltənt/,n. 顾问,a technology/design consultant,3
consultation,/ˌkɒnslˈteɪʃn/,n. 咨询,a consultation document/paper/period/process,4
consume,/kənˈsjuːm/,v. 消耗,The electricity industry consumes large amounts of fossil fuels.,2
consumer,/kənˈsjuːmə(r)/,n. 消费者,consumer spending/demand,2
consumption,/kənˈsʌmpʃn/,n. 消耗,the production of fuel for domestic consumption (= to be used in the country where it is produced),3
contact,/ˈkɒntækt/,n. 接触,"contact with somebody, I don't have much contact with my uncle.",2
contain,/kənˈteɪn/,v. 包含,This drink doesn't contain any alcohol.,1
container,/kənˈteɪnə(r)/,n. 容器,a plastic container,2
contemplate,/ˈkɒntəmpleɪt/,v. 沉思,"contemplate something, You're too young to be contemplating retirement.",4
contemporary,/kənˈtemprəri/,adj. 当代的,We have no contemporary account of the battle (= written near the time that it happened).,3
contempt,/kənˈtempt/,n. 鄙视,"with contempt, She looked at him with contempt.",4
contend,/kənˈtend/,v. 抗衡,I would contend that the minister's thinking is flawed on this point.,4
contender,/kənˈtendə(r)/,n. 竞争者,"contender (for something), a contender for a gold medal in the Olympics",4
content,/kənˈtent/,adj. 内容,"He seemed more content, less bitter.",4
contention,/kənˈtenʃn/,n. 争论,One area of contention is the availability of nursery care.,4
contest,/ˈkɒntest/,n. 竞赛,to hold a singing/talent contest,3
context,/ˈkɒntekst/,n. 语境,Such databases are being used in a wide range of contexts.,1
continent,/ˈkɒntɪnənt/,n. 大陆,the continent of Africa,1
continually,/kənˈtɪnjuəli/,adv. 不断地,They argue continually about money.,4
continue,/kənˈtɪnjuː/,v. 继续,"If the current trend continues, that number will increase 165 per cent by 2050.",1
continuous,/kənˈtɪnjuəs/,adj. 连续的,Recovery after the accident will be a continuous process that may take several months.,2
contract,/ˈkɒntrækt/,n. 合同,All employees have a written contract of employment.,3
contractor,/kənˈtræktə(r)/,a person or company that has a contract to do work or provide goods or services for another company,a building/roofing/electrical contractor ,4
contradiction,/ˌkɒntrəˈdɪkʃn/,n. 矛盾,"contradiction (between A and B), There is a contradiction between the two sets of figures.",4
contrary,/ˈkɒntrəri/,adj. 相反,,4
contrast,/ˈkɒntrɑːst/,n. 对比,The two cities make an interesting contrast.,2
contribute,/kənˈtrɪbjuːt/,v. 贡献,Do you wish to contribute?,3
contribution,/ˌkɒntrɪˈbjuːʃn/,n. 贡献,All contributions will be gratefully received.,3
contributor,/kənˈtrɪbjətə(r)/,n. 贡献者,a regular contributor to this magazine,4
control,/kənˈtrəʊl/,n. 控制,"control of somebody/something, The party expects to gain control of the council in the next election.",1
controversial,/ˌkɒntrəˈvɜːʃl/,adj. 有争议的,a highly controversial topic,3
controversy,/ˈkɒntrəvɜːsi/,n. 争议,to arouse/cause controversy,3
convenience,/kənˈviːniəns/,n. 方便,We have provided seats for the convenience of our customers.,3
convenient,/kənˈviːniənt/,adj. 方便的,Fruit is a convenient source of vitamins and energy.,2
convention,/kənˈvenʃn/,n. 习俗,the rigid social conventions of Victorian Britain,3
conventional,/kənˈvenʃənl/,adj. 传统的,conventional behaviour/morality,3
